Distance_(microns),Value
0.00000,1.1667
0.07345,5.7130
0.14689,2.5429
0.22034,6.5494
0.29379,5.8247
0.36723,7.1922
0.44068,7.2879
0.51413,17.5128
0.58758,20.9710
0.66102,26.5049
0.73447,24.8146
0.80792,21.3926
0.88136,20.8402
0.95481,11.5330
1.02826,8.4791
1.10170,8.1126
1.17515,5.8981
1.24860,4.8626
1.32204,3.4368
1.39549,4.2277
1.46894,4.6450
1.54239,3.1929
1.61583,2.3326
1.68928,6.5557
1.76273,7.4376
1.83617,4.2109
1.90962,3.5989
1.98307,3.6518
2.05651,3.3892
2.12996,5.6098
2.20341,2.3065
2.27685,2.7500
