Distance_(microns),Value
0.00000,2.0000
0.07345,2.7059
0.14689,2.7647
0.22034,5.6471
0.29379,4.5882
0.36723,4.4118
0.44068,8.4706
0.51413,9.8235
0.58758,16.2353
0.66102,18.5882
0.73447,14.1176
0.80792,14.5882
0.88136,14.0000
0.95481,15.0000
1.02826,12.8824
1.10170,8.5882
1.17515,7.7647
1.24860,3.0000
1.32204,4.7647
1.39549,3.2353
1.46894,2.0588
1.54239,2.8824
1.61583,4.0000
1.68928,4.2353
1.76273,4.1176
1.83617,3.1765
1.90962,3.4118
1.98307,4.5294
2.05651,2.4118
2.12996,4.8235
2.20341,1.9412
2.27685,2.2941
2.35030,2.2353
2.42375,2.8824
2.49720,3.0000
