Distance_(microns),Value
0.00000,11.000
0.07345,16.647
0.14689,15.294
0.22034,10.294
0.29379,11.765
0.36723,19.412
0.44068,18.471
0.51413,20.235
0.58758,38.000
0.66102,59.882
0.73447,82.235
0.80792,127.176
0.88136,131.765
0.95481,150.118
1.02826,160.059
1.10170,155.059
1.17515,157.176
1.24860,171.000
1.32204,119.000
1.39549,115.706
1.46894,113.118
1.54239,108.118
1.61583,90.412
1.68928,81.353
1.76273,92.765
1.83617,70.471
1.90962,53.765
1.98307,53.941
2.05651,36.353
2.12996,21.765
2.20341,30.176
2.27685,15.118
2.35030,16.412
2.42375,11.647
2.49720,4.000
