Distance_(microns),Value
0.00000,4.0000
0.07345,3.0000
0.14689,4.1351
0.22034,0.9730
0.29379,2.0000
0.36723,1.6216
0.44068,2.9459
0.51413,1.9730
0.58758,2.1351
0.66102,2.1622
0.73447,6.5135
0.80792,12.6216
0.88136,16.7838
0.95481,23.3784
1.02826,22.2162
1.10170,26.8649
1.17515,14.9730
1.24860,12.6486
1.32204,13.7297
1.39549,5.2703
1.46894,8.3243
1.54239,11.5405
1.61583,5.3784
1.68928,5.0000
1.76273,6.5676
1.83617,3.5946
1.90962,0.5676
1.98307,8.0811
2.05651,5.8919
2.12996,6.5946
2.20341,2.9730
2.27685,3.0541
2.35030,2.9189
2.42375,1.0000
2.49720,2.3243
2.57064,3.9189
2.64409,4.7838
2.71754,3.0000
