Distance_(microns),Value
0.00000,6.0000
0.07345,3.2609
0.14689,0.1739
0.22034,7.3043
0.29379,5.1304
0.36723,1.3043
0.44068,9.4348
0.51413,8.0870
0.58758,16.0000
0.66102,14.6522
0.73447,20.3478
0.80792,27.1739
0.88136,13.9130
0.95481,11.8696
1.02826,14.1304
1.10170,12.4783
1.17515,9.8696
1.24860,14.1304
1.32204,8.7391
1.39549,10.4783
1.46894,6.5217
1.54239,5.3043
1.61583,2.9565
1.68928,4.0000
1.76273,4.0870
1.83617,1.1739
1.90962,1.4783
1.98307,2.6087
2.05651,4.9565
2.12996,7.0000
2.20341,4.0435
2.27685,4.2174
2.35030,5.3478
2.42375,7.4783
2.49720,1.9130
2.57064,2.8696
2.64409,3.6522
2.71754,1.6522
2.79098,2.1304
2.86443,2.0000
2.93788,0.9565
3.01132,3.5652
3.08477,2.6957
3.15822,3.4783
3.23166,2.0435
3.30511,0.5217
3.37856,3.0000
