Distance_(microns),Value
0.00000,0.7500
0.07345,1.4804
0.14689,3.4608
0.22034,4.0294
0.29379,2.3481
0.36723,0.7745
0.44068,0.7206
0.51413,1.6470
0.58758,11.7743
0.66102,35.8232
0.73447,63.4555
0.80792,79.9118
0.88136,72.6914
0.95481,57.2845
1.02826,38.8877
1.10170,17.0591
1.17515,8.3431
1.24860,8.3334
1.32204,5.3825
1.39549,2.3137
1.46894,2.0883
1.54239,0.5882
1.61583,2.4264
1.68928,2.9510
1.76273,1.6323
1.83617,1.6177
1.90962,1.4803
1.98307,3.7942
2.05651,1.7255
2.12996,2.1765
2.20341,1.0000
2.27685,1.0000
2.35030,2.6761
2.42375,8.4121
2.49720,1.0000
