Distance_(microns),Value
0.00000,18.000
0.07345,13.750
0.14689,10.450
0.22034,20.495
0.29379,22.090
0.36723,16.016
0.44068,16.720
0.51413,24.665
0.58758,23.640
0.66102,20.903
0.73447,23.125
0.80792,33.559
0.88136,62.590
0.95481,85.706
1.02826,116.445
1.10170,163.656
1.17515,204.640
1.24860,227.190
1.32204,232.880
1.39549,230.849
1.46894,236.500
1.54239,241.914
1.61583,245.708
1.68928,244.760
1.76273,234.680
1.83617,223.078
1.90962,196.288
1.98307,164.184
2.05651,141.960
2.12996,119.883
2.20341,101.812
2.27685,71.777
2.35030,59.680
2.42375,59.297
2.49720,50.375
2.57064,48.953
2.64409,44.070
2.71754,32.139
2.79098,21.698
2.86443,28.264
2.93788,12.000
