Distance_(microns),Value
0.00000,7.8054
0.07345,6.1177
0.14689,4.6754
0.22034,4.9728
0.29379,4.2915
0.36723,3.9054
0.44068,4.4349
0.51413,2.0000
0.58758,1.3844
0.66102,7.0043
0.73447,4.5934
0.80792,5.4226
0.88136,14.2440
0.95481,21.3104
1.02826,21.9375
1.10170,35.0368
1.17515,33.3451
1.24860,33.7727
1.32204,24.9616
1.39549,29.3223
1.46894,22.7555
1.54239,17.6665
1.61583,13.0421
1.68928,11.2932
1.76273,9.5566
1.83617,5.9585
1.90962,4.9578
1.98307,6.1610
2.05651,6.2361
2.12996,2.9766
2.20341,2.1263
2.27685,2.4399
2.35030,3.4863
2.42375,4.5262
2.49720,4.7480
2.57064,4.7407
2.64409,3.6912
2.71754,3.4178
2.79098,3.7927
2.86443,2.5986
2.93788,2.1325
3.01132,1.4092
3.08477,1.2779
