Distance_(microns),Value
0.00000,4.0000
0.07345,4.6349
0.14689,4.9683
0.22034,2.1786
0.29379,1.9683
0.36723,4.5833
0.44068,6.7143
0.51413,4.2778
0.58758,4.7460
0.66102,2.3571
0.73447,1.0794
0.80792,3.7063
0.88136,7.1429
0.95481,8.9841
1.02826,11.6667
1.10170,12.8571
1.17515,11.9524
1.24860,14.8452
1.32204,9.4286
1.39549,5.9960
1.46894,8.6667
1.54239,7.0000
1.61583,5.7778
1.68928,7.3770
1.76273,7.4286
1.83617,7.1548
1.90962,6.9683
1.98307,6.7500
2.05651,4.2222
2.12996,2.0000
2.20341,2.5714
2.27685,2.9167
2.35030,1.4603
2.42375,5.3214
2.49720,6.5397
2.57064,0.5556
2.64409,2.2857
2.71754,3.4206
2.79098,2.9206
2.86443,4.2857
2.93788,2.0635
3.01132,3.1429
3.08477,2.0000
