Distance_(microns),Value
0.00000,5.0000
0.07345,2.8730
0.14689,0.4444
0.22034,3.7500
0.29379,1.3175
0.36723,2.7024
0.44068,3.7143
0.51413,7.0833
0.58758,3.0794
0.66102,2.1071
0.73447,1.0635
0.80792,2.6706
0.88136,8.2857
0.95481,26.7302
1.02826,27.1111
1.10170,31.8571
1.17515,18.7460
1.24860,6.2222
1.32204,0.4286
1.39549,1.0040
1.46894,4.7619
1.54239,6.0000
1.61583,3.1270
1.68928,0.4683
1.76273,0.5714
1.83617,0.3373
1.90962,0.4127
1.98307,0.7143
2.05651,1.6667
2.12996,1.3730
2.20341,1.4286
2.27685,1.1786
2.35030,4.6825
2.42375,6.4643
2.49720,15.4603
2.57064,3.7778
2.64409,9.355E-12
2.71754,0.1984
2.79098,1.2063
2.86443,0.0000
2.93788,0.0635
3.01132,1.6905
3.08477,2.0000
