Distance_(microns),Value
0.00000,3.2500
0.07345,2.0414
0.14689,3.1163
0.22034,5.7393
0.29379,4.7029
0.36723,4.0871
0.44068,7.0554
0.51413,10.0395
0.58758,13.5194
0.66102,12.5417
0.73447,8.2576
0.80792,7.6002
0.88136,5.6766
0.95481,3.4211
1.02826,6.3823
1.10170,6.3598
1.17515,3.8442
1.24860,5.7481
1.32204,4.7396
1.39549,4.9375
1.46894,4.4938
1.54239,2.2564
1.61583,1.3546
1.68928,2.5355
1.76273,1.0575
1.83617,1.8198
1.90962,4.2188
1.98307,4.2365
2.05651,3.7929
2.12996,3.9669
2.20341,5.1551
2.27685,2.0921
2.35030,3.2479
2.42375,3.9624
2.49720,1.2050
2.57064,4.1472
2.64409,3.7292
2.71754,4.7012
2.79098,4.0000
