Distance_(microns),Value
0.00000,4.0000
0.07345,2.5176
0.14689,1.8320
0.22034,4.1531
0.29379,3.8322
0.36723,3.4388
0.44068,2.3000
0.51413,8.2800
0.58758,28.0822
0.66102,54.7016
0.73447,59.8316
0.80792,53.0461
0.88136,45.2580
0.95481,33.7645
1.02826,8.6200
1.10170,12.2551
1.17515,7.0155
1.24860,7.1873
1.32204,4.9333
1.39549,3.2286
1.46894,7.2602
1.54239,4.4800
1.61583,2.8876
1.68928,3.7988
1.76273,2.8888
1.83617,0.2653
1.90962,0.1141
1.98307,0.3037
2.05651,1.4000
2.12996,2.4286
2.20341,3.7092
2.27685,3.4286
2.35030,1.5508
2.42375,2.8763
2.49720,2.4116
2.57064,0.5000
