Distance_(microns),Value
0.00000,1.0833
0.07345,1.5698
0.14689,1.5257
0.22034,1.8994
0.29379,2.2376
0.36723,3.0106
0.44068,2.5427
0.51413,3.2957
0.58758,3.1899
0.66102,4.7975
0.73447,5.7670
0.80792,6.3889
0.88136,12.4428
0.95481,15.0510
1.02826,21.8262
1.10170,20.7493
1.17515,21.7844
1.24860,23.3072
1.32204,25.4187
1.39549,24.2424
1.46894,15.1148
1.54239,18.8912
1.61583,14.7222
1.68928,15.0693
1.76273,14.4890
1.83617,7.6331
1.90962,4.9568
1.98307,3.3884
2.05651,4.4777
2.12996,2.1120
2.20341,1.5399
2.27685,3.5152
2.35030,4.6990
2.42375,4.1667
2.49720,3.3861
2.57064,3.7029
2.64409,3.9848
2.71754,3.7461
2.79098,4.7576
2.86443,5.1364
2.93788,3.8163
3.01132,3.1520
3.08477,2.5957
3.15822,1.4449
3.23166,2.4444
