Distance_(microns),Value
0.00000,2.4167
0.07345,2.9320
0.14689,2.4031
0.22034,4.2424
0.29379,2.9564
0.36723,3.4385
0.44068,7.0083
0.51413,2.7916
0.58758,1.0326
0.66102,1.6281
0.73447,2.3726
0.80792,10.1667
0.88136,13.0723
0.95481,18.7585
1.02826,28.7881
1.10170,35.3168
1.17515,21.8503
1.24860,20.0422
1.32204,20.8099
1.39549,25.6593
1.46894,9.6793
1.54239,20.1006
1.61583,10.6111
1.68928,11.1230
1.76273,11.7128
1.83617,11.8370
1.90962,6.3900
1.98307,5.4132
2.05651,2.2335
2.12996,1.0730
2.20341,1.5826
2.27685,4.6070
2.35030,4.1123
2.42375,2.0000
2.49720,2.1286
2.57064,2.9454
2.64409,2.9463
2.71754,0.5436
2.79098,1.0452
2.86443,1.0193
2.93788,0.6837
3.01132,4.6465
3.08477,7.1983
3.15822,2.1194
3.23166,3.6389
