Distance_(microns),Value
0.00000,23.917
0.07345,24.878
0.14689,20.256
0.22034,15.052
0.29379,15.729
0.36723,13.264
0.44068,11.454
0.51413,17.146
0.58758,17.546
0.66102,13.344
0.73447,21.917
0.80792,21.500
0.88136,24.584
0.95481,40.220
1.02826,63.456
1.10170,59.958
1.17515,72.913
1.24860,84.343
1.32204,100.292
1.39549,97.755
1.46894,123.952
1.54239,126.111
1.61583,140.667
1.68928,138.781
1.76273,135.850
1.83617,132.554
1.90962,122.726
1.98307,130.866
2.05651,131.535
2.12996,117.257
2.20341,116.354
2.27685,112.552
2.35030,117.219
2.42375,119.167
2.49720,104.472
2.57064,82.641
2.64409,77.484
2.71754,77.968
2.79098,65.849
2.86443,52.067
2.93788,35.195
3.01132,31.544
3.08477,32.688
3.15822,30.255
3.23166,25.444
