Distance_(microns),Value
0.00000,1.5558
0.07345,4.2924
0.14689,7.5664
0.22034,3.5580
0.29379,0.8997
0.36723,5.5510
0.44068,11.6580
0.51413,27.9998
0.58758,39.7497
0.66102,33.4969
0.73447,18.6703
0.80792,8.2041
0.88136,4.8402
0.95481,3.2925
1.02826,3.2500
1.10170,2.0522
1.17515,1.2126
1.24860,0.3673
1.32204,1.6043
1.39549,1.8821
1.46894,4.1938
1.54239,4.4445
1.61583,2.6088
1.68928,1.2653
1.76273,0.6462
1.83617,1.6621
1.90962,7.6938
1.98307,13.6032
2.05651,10.3333
2.12996,8.3674
2.20341,2.9785
2.27685,0.0000
2.35030,2.0153
2.42375,1.9955
2.49720,0.0176
2.57064,1.0000
