Distance_(microns),Value
0.00000,5.778
0.07345,5.209
0.14689,6.051
0.22034,9.020
0.29379,8.969
0.36723,10.184
0.44068,15.780
0.51413,29.666
0.58758,51.071
0.66102,68.440
0.73447,84.663
0.80792,94.939
0.88136,110.110
0.95481,127.943
1.02826,130.500
1.10170,123.553
1.17515,123.008
1.24860,129.531
1.32204,117.226
1.39549,116.766
1.46894,132.271
1.54239,120.889
1.61583,112.937
1.68928,109.714
1.76273,93.246
1.83617,76.034
1.90962,68.015
1.98307,62.107
2.05651,50.944
2.12996,41.878
2.20341,35.314
2.27685,29.145
2.35030,28.332
2.42375,20.465
2.49720,24.426
2.57064,18.000
