Distance_(microns),Value
0.00000,0.2500
0.07345,1.8224
0.14689,1.3969
0.22034,2.2531
0.29379,3.4724
0.36723,9.7755
0.44068,30.5204
0.51413,45.6000
0.58758,50.9000
0.66102,49.4102
0.73447,25.1684
0.80792,8.7367
0.88136,10.5551
0.95481,4.9429
1.02826,3.1500
1.10170,3.0714
1.17515,2.4510
1.24860,0.6898
1.32204,0.4531
1.39549,3.1245
1.46894,3.7194
1.54239,3.9000
1.61583,3.6643
1.68928,0.3429
1.76273,1.7082
1.83617,0.1224
1.90962,0.0000
1.98307,0.0408
2.05651,0.4500
2.12996,0.0000
2.20341,0.0000
2.27685,0.1918
2.35030,2.8888
2.42375,1.9429
2.49720,0.0255
2.57064,2.5000
