Distance_(microns),Value
0.00000,1.5835
0.07345,1.3278
0.14689,2.6474
0.22034,3.6600
0.29379,6.6969
0.36723,13.8232
0.44068,14.0726
0.51413,13.4387
0.58758,15.7796
0.66102,18.5780
0.73447,12.0648
0.80792,15.0009
0.88136,9.5926
0.95481,8.5800
1.02826,6.1525
1.10170,7.8015
1.17515,5.5971
1.24860,5.5954
1.32204,3.5972
1.39549,4.3704
1.46894,3.9327
1.54239,3.5018
1.61583,1.2396
1.68928,1.8014
1.76273,4.6635
1.83617,2.1493
1.90962,1.6645
1.98307,2.5417
2.05651,2.9822
2.12996,3.0000
2.20341,3.3511
2.27685,4.4819
2.35030,4.0113
2.42375,2.8221
2.49720,2.0723
2.57064,4.8250
2.64409,3.0000
