Distance_(microns),Value
0.00000,10.139
0.07345,10.628
0.14689,12.522
0.22034,11.413
0.29379,18.551
0.36723,25.104
0.44068,34.313
0.51413,58.997
0.58758,61.866
0.66102,89.296
0.73447,131.641
0.80792,136.711
0.88136,133.395
0.95481,146.645
1.02826,160.109
1.10170,156.515
1.17515,145.410
1.24860,143.607
1.32204,130.868
1.39549,127.302
1.46894,110.919
1.54239,105.507
1.61583,91.552
1.68928,72.840
1.76273,58.420
1.83617,55.371
1.90962,41.436
1.98307,38.767
2.05651,21.236
2.12996,25.468
2.20341,18.596
2.27685,25.031
2.35030,27.824
2.42375,21.794
2.49720,30.814
2.57064,19.924
2.64409,13.000
