Distance_(microns),Value
0.00000,4.0000
0.07345,2.0000
0.14689,2.5333
0.22034,4.6000
0.29379,4.5333
0.36723,2.0000
0.44068,8.0000
0.51413,5.8000
0.58758,9.4667
0.66102,17.4000
0.73447,26.6667
0.80792,39.4000
0.88136,39.0000
0.95481,48.6667
1.02826,42.1333
1.10170,43.0000
1.17515,20.8667
1.24860,20.4000
1.32204,15.0000
1.39549,9.4000
1.46894,10.0000
1.54239,13.0000
1.61583,11.3333
1.68928,10.3333
1.76273,8.8000
1.83617,10.3333
1.90962,9.4000
1.98307,7.2000
2.05651,2.4000
2.12996,6.0000
2.20341,5.0000
2.27685,0.2000
2.35030,3.8667
2.42375,4.2000
2.49720,4.2000
2.57064,4.0000
2.64409,4.6000
2.71754,4.9333
2.79098,2.5333
2.86443,2.6000
2.93788,2.0000
3.01132,2.2000
3.08477,2.8000
3.15822,4.0000
3.23166,7.6000
3.30511,5.0000
