Distance_(microns),Value
0.00000,4.0000
0.07345,0.0000
0.14689,2.6000
0.22034,0.6000
0.29379,4.2667
0.36723,7.3333
0.44068,4.6000
0.51413,2.4667
0.58758,15.0000
0.66102,18.4000
0.73447,41.3333
0.80792,50.5333
0.88136,82.0000
0.95481,79.8000
1.02826,77.2000
1.10170,47.0000
1.17515,27.6667
1.24860,19.0000
1.32204,10.4000
1.39549,14.0667
1.46894,11.0000
1.54239,0.0000
1.61583,1.4000
1.68928,4.7333
1.76273,5.4000
1.83617,1.3333
1.90962,0.8000
1.98307,2.4000
2.05651,2.6000
2.12996,2.8000
2.20341,5.0000
2.27685,0.2000
2.35030,1.7333
2.42375,0.8000
2.49720,1.4667
2.57064,0.0000
2.64409,0.0000
2.71754,0.9333
2.79098,2.3333
2.86443,0.8000
2.93788,2.6667
3.01132,0.0000
3.08477,4.4000
3.15822,4.3333
3.23166,0.0000
3.30511,0.0000
