Distance_(microns),Value
0.00000,1.0000
0.07345,3.0000
0.14689,1.7647
0.22034,2.1176
0.29379,4.5882
0.36723,6.5882
0.44068,7.5294
0.51413,8.6471
0.58758,8.8824
0.66102,7.7647
0.73447,6.2941
0.80792,7.4706
0.88136,15.3529
0.95481,7.4706
1.02826,7.7647
1.10170,6.7647
1.17515,11.1765
1.24860,4.0000
1.32204,1.0000
1.39549,3.2941
1.46894,4.0588
1.54239,1.5294
1.61583,1.4118
1.68928,2.5882
1.76273,2.8235
1.83617,3.9412
1.90962,3.9412
1.98307,0.1765
2.05651,3.4118
2.12996,0.8235
2.20341,1.9412
2.27685,4.0588
2.35030,1.4706
2.42375,3.0000
2.49720,1.0000
