Distance_(microns),Value
0.00000,20.0000
0.07345,22.7059
0.14689,27.3529
0.22034,18.9412
0.29379,23.2353
0.36723,22.5294
0.44068,33.7647
0.51413,39.1765
0.58758,44.5882
0.66102,51.2353
0.73447,61.8235
0.80792,68.6471
0.88136,67.5882
0.95481,73.6471
1.02826,73.5294
1.10170,68.7647
1.17515,85.7647
1.24860,73.0000
1.32204,65.1176
1.39549,55.5294
1.46894,62.0000
1.54239,58.4118
1.61583,53.5882
1.68928,58.0000
1.76273,45.7647
1.83617,39.9412
1.90962,28.8824
1.98307,24.0588
2.05651,22.5882
2.12996,12.1176
2.20341,13.4118
2.27685,8.7647
2.35030,6.7647
2.42375,4.7647
2.49720,7.0000
