Distance_(microns),Value
0.00000,3.7500
0.07345,2.9244
0.14689,4.0640
0.22034,2.5756
0.29379,0.6395
0.36723,4.1628
0.44068,6.3895
0.51413,8.0116
0.58758,14.1453
0.66102,24.8663
0.73447,36.9942
0.80792,42.2674
0.88136,39.5465
0.95481,33.5291
1.02826,26.4244
1.10170,18.7558
1.17515,18.7384
1.24860,17.1395
1.32204,10.3314
1.39549,10.2093
1.46894,13.8663
1.54239,10.2965
1.61583,6.5581
1.68928,6.2849
1.76273,7.4360
1.83617,7.2791
1.90962,5.7616
1.98307,6.1977
2.05651,9.0349
2.12996,8.4244
2.20341,7.4651
2.27685,4.5000
2.35030,3.8895
2.42375,4.8256
2.49720,5.0000
2.57064,3.7151
2.64409,2.8430
2.71754,5.4128
2.79098,4.1744
2.86443,1.5349
2.93788,3.1221
3.01132,2.3663
3.08477,1.6512
3.15822,1.7500
