Distance_(microns),Value
0.00000,3.0000
0.07345,0.0000
0.14689,2.3158
0.22034,3.7368
0.29379,0.0000
0.36723,2.3684
0.44068,1.1053
0.51413,2.4737
0.58758,11.1579
0.66102,7.3684
0.73447,26.8421
0.80792,40.0000
0.88136,15.2105
0.95481,17.3158
1.02826,5.4211
1.10170,3.6842
1.17515,0.6842
1.24860,0.0000
1.32204,0.8947
1.39549,0.0000
1.46894,0.5263
1.54239,0.0000
1.61583,3.0000
1.68928,4.1053
1.76273,1.0526
1.83617,2.5263
1.90962,9.6316
1.98307,2.5263
2.05651,0.3158
2.12996,0.0000
2.20341,3.3684
2.27685,4.2105
2.35030,5.7368
2.42375,0.0000
2.49720,0.4211
2.57064,7.1053
2.64409,10.5789
2.71754,7.6316
2.79098,4.547E-12
