Distance_(microns),Value
0.00000,3.5279
0.07345,6.2180
0.14689,6.6984
0.22034,7.8627
0.29379,10.6391
0.36723,15.0858
0.44068,22.6010
0.51413,30.2214
0.58758,28.5178
0.66102,20.0990
0.73447,24.6875
0.80792,18.9020
0.88136,11.9361
0.95481,15.6832
1.02826,16.4041
1.10170,10.5709
1.17515,11.7123
1.24860,10.7221
1.32204,4.5845
1.39549,5.4232
1.46894,3.9106
1.54239,4.1501
1.61583,3.5203
1.68928,1.9908
1.76273,1.7438
1.83617,1.4057
1.90962,3.0146
1.98307,3.4801
2.05651,1.0874
2.12996,0.8462
2.20341,4.7387
2.27685,5.3368
2.35030,3.7696
2.42375,2.5195
2.49720,1.3541
