Distance_(microns),Value
0.00000,11.396
0.07345,12.294
0.14689,12.586
0.22034,14.785
0.29379,24.953
0.36723,36.646
0.44068,62.300
0.51413,106.278
0.58758,160.852
0.66102,202.240
0.73447,238.939
0.80792,246.637
0.88136,245.437
0.95481,228.573
1.02826,227.559
1.10170,223.880
1.17515,203.939
1.24860,215.056
1.32204,206.590
1.39549,196.323
1.46894,176.163
1.54239,134.676
1.61583,135.317
1.68928,95.428
1.76273,84.487
1.83617,50.658
1.90962,40.602
1.98307,32.442
2.05651,30.982
2.12996,27.301
2.20341,21.213
2.27685,17.392
2.35030,14.184
2.42375,18.940
2.49720,18.146
