Distance_(microns),Value
0.00000,1.0000
0.07345,2.0625
0.14689,3.1875
0.22034,2.9062
0.29379,4.3750
0.36723,5.1562
0.44068,5.6250
0.51413,12.6562
0.58758,19.2500
0.66102,26.7188
0.73447,33.6875
0.80792,33.5938
0.88136,38.6250
0.95481,24.8438
1.02826,16.8125
1.10170,12.1875
1.17515,9.0000
1.24860,3.8750
1.32204,8.4375
1.39549,6.7812
1.46894,4.3750
1.54239,4.6562
1.61583,6.4375
1.68928,3.1250
1.76273,4.7500
1.83617,5.6562
1.90962,5.3750
1.98307,3.6875
2.05651,5.3750
2.12996,2.0000
2.20341,6.9375
2.27685,3.0625
2.35030,5.0000
