Distance_(microns),Value
0.00000,2.0000
0.07345,3.1250
0.14689,0.2500
0.22034,9.0625
0.29379,0.5000
0.36723,11.1250
0.44068,10.2500
0.51413,12.7500
0.58758,21.0000
0.66102,9.3750
0.73447,32.3750
0.80792,31.2500
0.88136,16.3750
0.95481,11.0000
1.02826,7.6875
1.10170,5.4062
1.17515,8.5000
1.24860,5.4062
1.32204,5.2500
1.39549,5.2188
1.46894,6.3750
1.54239,1.6562
1.61583,3.6875
1.68928,0.0000
1.76273,0.7500
1.83617,4.9062
1.90962,0.5625
1.98307,0.0000
2.05651,2.0000
2.12996,3.9062
2.20341,1.3750
2.27685,2.9062
2.35030,0.0000
