Distance_(microns),Value
0.00000,0.0000
0.07345,0.0312
0.14689,4.8125
0.22034,3.8125
0.29379,3.0000
0.36723,2.1562
0.44068,7.6250
0.51413,8.0000
0.58758,9.2500
0.66102,9.6875
0.73447,14.0625
0.80792,11.9375
0.88136,7.0000
0.95481,7.9688
1.02826,5.8125
1.10170,8.3438
1.17515,8.0000
1.24860,13.0938
1.32204,12.5625
1.39549,8.4062
1.46894,13.7500
1.54239,5.0312
1.61583,5.8750
1.68928,6.1250
1.76273,5.2500
1.83617,2.7812
1.90962,5.0625
1.98307,0.3125
2.05651,4.6250
2.12996,1.0938
2.20341,4.8125
2.27685,4.9688
2.35030,2.0000
