Distance_(microns),Value
0.00000,1.0000
0.07345,1.9375
0.14689,0.1250
0.22034,0.0000
0.29379,7.0000
0.36723,0.0000
0.44068,6.5000
0.51413,11.5625
0.58758,19.5000
0.66102,18.0312
0.73447,20.9375
0.80792,8.6250
0.88136,0.3750
0.95481,1.1875
1.02826,4.5000
1.10170,0.4688
1.17515,0.5000
1.24860,4.7188
1.32204,0.5625
1.39549,10.7188
1.46894,1.6250
1.54239,6.6562
1.61583,0.9375
1.68928,4.7188
1.76273,1.2500
1.83617,0.0000
1.90962,0.0000
1.98307,1.1562
2.05651,0.0000
2.12996,1.9062
2.20341,0.0000
2.27685,0.0000
2.35030,2.0000
