Distance_(microns),Value
0.00000,7.0000
0.07345,1.0294
0.14689,3.9412
0.22034,2.1765
0.29379,3.1176
0.36723,3.7059
0.44068,4.6471
0.51413,8.3824
0.58758,18.8824
0.66102,9.5294
0.73447,5.5882
0.80792,7.0588
0.88136,5.0000
0.95481,8.6176
1.02826,3.8235
1.10170,5.1176
1.17515,9.3529
1.24860,6.5000
1.32204,5.9412
1.39549,2.5588
1.46894,4.3529
1.54239,2.3824
1.61583,2.3529
1.68928,4.7059
1.76273,4.8824
1.83617,3.3235
1.90962,5.2941
1.98307,3.4118
2.05651,3.1765
2.12996,1.0000
2.20341,3.7647
2.27685,2.3529
2.35030,1.1176
2.42375,0.9706
2.49720,1.0000
