Distance_(microns),Value
0.00000,2.0000
0.07345,6.0000
0.14689,4.6087
0.22034,5.3696
0.29379,3.7826
0.36723,5.3261
0.44068,5.5652
0.51413,7.0000
0.58758,15.5217
0.66102,23.1739
0.73447,36.9565
0.80792,55.4348
0.88136,59.7826
0.95481,66.5652
1.02826,42.6957
1.10170,38.7391
1.17515,19.0000
1.24860,12.6739
1.32204,9.7826
1.39549,8.0000
1.46894,8.5217
1.54239,7.7391
1.61583,8.1304
1.68928,2.0000
1.76273,4.4783
1.83617,4.0000
1.90962,5.3913
1.98307,3.0000
2.05651,2.8261
2.12996,4.0000
2.20341,2.0000
2.27685,4.8913
2.35030,2.8261
2.42375,5.3913
2.49720,2.3478
2.57064,4.7174
2.64409,1.7391
2.71754,2.4130
2.79098,1.0000
2.86443,3.3696
2.93788,1.6087
3.01132,4.0000
3.08477,1.5217
3.15822,1.0000
3.23166,8.0870
3.30511,2.8696
3.37856,3.0000
