Distance_(microns),Value
0.00000,0.0000
0.07345,0.0000
0.14689,2.1714
0.22034,6.4000
0.29379,0.2286
0.36723,5.4286
0.44068,7.8571
0.51413,20.8000
0.58758,31.7143
0.66102,25.2286
0.73447,27.7143
0.80792,43.6000
0.88136,17.8000
0.95481,9.8286
1.02826,6.4000
1.10170,2.1429
1.17515,3.2571
1.24860,1.4571
1.32204,3.0000
1.39549,2.8286
1.46894,2.1429
1.54239,2.6000
1.61583,3.3714
1.68928,0.3429
1.76273,0.9429
1.83617,0.5714
1.90962,1.2571
1.98307,7.0857
2.05651,6.4000
2.12996,0.6857
2.20341,0.2857
2.27685,1.7714
2.35030,3.0000
2.42375,0.0571
2.49720,9.8571
2.57064,2.728E-12
