Distance_(microns),Value
0.00000,1.7222
0.07345,1.8080
0.14689,3.5467
0.22034,4.8161
0.29379,4.7446
0.36723,4.7098
0.44068,7.2886
0.51413,14.4755
0.58758,29.3863
0.66102,27.2611
0.73447,41.6242
0.80792,28.9321
0.88136,17.6985
0.95481,13.1552
1.02826,9.5720
1.10170,8.0701
1.17515,7.4752
1.24860,6.3725
1.32204,2.9298
1.39549,2.9326
1.46894,4.1915
1.54239,4.3805
1.61583,4.4547
1.68928,3.7401
1.76273,3.5037
1.83617,1.4970
1.90962,0.1880
1.98307,1.8554
2.05651,1.3690
2.12996,0.3844
2.20341,1.4539
2.27685,1.9130
2.35030,0.8936
2.42375,0.4437
2.49720,0.8623
2.57064,2.5183
2.64409,4.5677
2.71754,4.3901
2.79098,3.6596
2.86443,4.5209
2.93788,3.5577
3.01132,2.6030
3.08477,1.3372
3.15822,0.9014
3.23166,1.6487
3.30511,1.7060
3.37856,2.8046
3.45200,1.0000
