Distance_(microns),Value
0.00000,1.5833
0.07345,1.2441
0.14689,2.2898
0.22034,3.7601
0.29379,3.4990
0.36723,6.2263
0.44068,4.4066
0.51413,5.3357
0.58758,2.5569
0.66102,4.2229
0.73447,2.3157
0.80792,5.6830
0.88136,14.2118
0.95481,13.2527
1.02826,11.3602
1.10170,9.2309
1.17515,6.0550
1.24860,7.2120
1.32204,6.1984
1.39549,14.0195
1.46894,10.0192
1.54239,14.5829
1.61583,7.4645
1.68928,10.2931
1.76273,7.2691
1.83617,6.4930
1.90962,7.4797
1.98307,5.8645
2.05651,3.5052
2.12996,6.3683
2.20341,4.5521
2.27685,4.3220
2.35030,2.8773
2.42375,0.3170
2.49720,2.5911
2.57064,0.5214
2.64409,1.7920
2.71754,2.9010
2.79098,4.1612
2.86443,4.1324
2.93788,2.1465
3.01132,3.2500
