Distance_(microns),Value
0.00000,3.9724
0.07345,6.1983
0.14689,3.4569
0.22034,0.3009
0.29379,1.6701
0.36723,2.1104
0.44068,7.4106
0.51413,0.8262
0.58758,3.2374
0.66102,9.5827
0.73447,15.9271
0.80792,30.5957
0.88136,46.5053
0.95481,33.2880
1.02826,37.5423
1.10170,29.2872
1.17515,16.0770
1.24860,20.8668
1.32204,23.7254
1.39549,12.9028
1.46894,13.5433
1.54239,14.8008
1.61583,2.4686
1.68928,7.5686
1.76273,2.5703
1.83617,3.6194
1.90962,4.0553
1.98307,0.2209
2.05651,1.8437
2.12996,3.8727
2.20341,2.1545
2.27685,2.5019
2.35030,1.1631
2.42375,1.8618
2.49720,0.2097
2.57064,0.2904
2.64409,0.7873
2.71754,0.1020
2.79098,0.0000
2.86443,3.7471
2.93788,2.5666
3.01132,0.8334
