Distance_(microns),Value
0.00000,26.167
0.07345,23.556
0.14689,18.164
0.22034,23.366
0.29379,19.395
0.36723,14.992
0.44068,17.569
0.51413,13.933
0.58758,13.011
0.66102,11.573
0.73447,14.838
0.80792,24.080
0.88136,42.842
0.95481,70.747
1.02826,66.769
1.10170,79.839
1.17515,90.801
1.24860,101.316
1.32204,121.113
1.39549,124.058
1.46894,123.382
1.54239,151.876
1.61583,123.903
1.68928,119.132
1.76273,98.071
1.83617,96.498
1.90962,80.136
1.98307,63.513
2.05651,47.306
2.12996,53.511
2.20341,38.209
2.27685,33.562
2.35030,21.539
2.42375,20.795
2.49720,17.702
2.57064,15.120
2.64409,12.071
2.71754,16.359
2.79098,11.153
2.86443,13.343
2.93788,11.394
3.01132,9.750
