Distance_(microns),Value
0.00000,1.2500
0.07345,1.4728
0.14689,2.4913
0.22034,3.6324
0.29379,4.3529
0.36723,7.7059
0.44068,12.5052
0.51413,10.7881
0.58758,9.6730
0.66102,11.7109
0.73447,12.1799
0.80792,10.1237
0.88136,6.8106
0.95481,6.7606
1.02826,5.8962
1.10170,7.0908
1.17515,6.5614
1.24860,5.7500
1.32204,3.9446
1.39549,2.4894
1.46894,4.8348
1.54239,3.6157
1.61583,2.0554
1.68928,0.7764
1.76273,3.2941
1.83617,0.9712
1.90962,2.8824
1.98307,2.5238
2.05651,6.4135
2.12996,3.8064
2.20341,1.5433
2.27685,5.7005
2.35030,1.3062
2.42375,1.8529
2.49720,2.0000
