Distance_(microns),Value
0.00000,13.5000
0.07345,14.1471
0.14689,14.6263
0.22034,16.7699
0.29379,19.0208
0.36723,22.4241
0.44068,25.8408
0.51413,25.6239
0.58758,33.4931
0.66102,51.6955
0.73447,63.9412
0.80792,63.8257
0.88136,70.3417
0.95481,79.7699
1.02826,80.3218
1.10170,72.5084
1.17515,68.0779
1.24860,69.6875
1.32204,68.8962
1.39549,59.1241
1.46894,45.3287
1.54239,41.7772
1.61583,37.0484
1.68928,31.8635
1.76273,19.3443
1.83617,16.1771
1.90962,13.0069
1.98307,13.2766
2.05651,12.1670
2.12996,12.6916
2.20341,9.7128
2.27685,6.8625
2.35030,3.7976
2.42375,10.7271
2.49720,2.0000
