Distance_(microns),Value
0.00000,4.0000
0.07345,5.9004
0.14689,2.4914
0.22034,2.4882
0.29379,2.2131
0.36723,3.4490
0.44068,7.3143
0.51413,9.7600
0.58758,12.3967
0.66102,13.1494
0.73447,9.9796
0.80792,13.1159
0.88136,10.0465
0.95481,7.4849
1.02826,4.1200
1.10170,3.7755
1.17515,4.7208
1.24860,3.6384
1.32204,3.3069
1.39549,6.2310
1.46894,7.0612
1.54239,5.5200
1.61583,4.4008
1.68928,5.9339
1.76273,4.2424
1.83617,4.4694
1.90962,4.1649
1.98307,1.8824
2.05651,1.4400
2.12996,3.8482
2.20341,3.3878
2.27685,4.5290
2.35030,3.1869
2.42375,0.1159
2.49720,1.4759
2.57064,1.819E-12
