Distance_(microns),Value
0.00000,5.0000
0.07345,0.1331
0.14689,0.6196
0.22034,0.9298
0.29379,3.3869
0.36723,2.2245
0.44068,6.9429
0.51413,14.8400
0.58758,27.3143
0.66102,29.5314
0.73447,21.8776
0.80792,21.0465
0.88136,8.1045
0.95481,2.3706
1.02826,2.3600
1.10170,1.1633
1.17515,1.6286
1.24860,4.5869
1.32204,6.6694
1.39549,5.4449
1.46894,4.2449
1.54239,3.3600
1.61583,0.5159
1.68928,0.0376
1.76273,1.5714
1.83617,5.4082
1.90962,6.2498
1.98307,3.1167
2.05651,4.8800
2.12996,1.6571
2.20341,0.3469
2.27685,1.5714
2.35030,2.3502
2.42375,1.6269
2.49720,6.4914
2.57064,9.550E-12
