Distance_(microns),Value
0.00000,14.0000
0.07345,9.5037
0.14689,16.3461
0.22034,9.7143
0.29379,16.0016
0.36723,16.2449
0.44068,18.3184
0.51413,19.0400
0.58758,22.9453
0.66102,38.7641
0.73447,38.7143
0.80792,43.1535
0.88136,53.8604
0.95481,61.3135
1.02826,66.8000
1.10170,64.7755
1.17515,65.7371
1.24860,66.6253
1.32204,58.8294
1.39549,54.7510
1.46894,49.1837
1.54239,41.6000
1.61583,37.1380
1.68928,34.1600
1.76273,22.9371
1.83617,17.9592
1.90962,18.1804
1.98307,15.8278
2.05651,11.5600
2.12996,13.5910
2.20341,7.7959
2.27685,8.9731
2.35030,4.8751
2.42375,3.1037
2.49720,4.2751
2.57064,9.0000
