Distance_(microns),Value
0.00000,1.2500
0.07345,0.8514
0.14689,2.2741
0.22034,3.4947
0.29379,2.5924
0.36723,3.2193
0.44068,3.6486
0.51413,2.0904
0.58758,3.7337
0.66102,5.2982
0.73447,9.0352
0.80792,7.6375
0.88136,6.3251
0.95481,15.7958
1.02826,16.6269
1.10170,11.2135
1.17515,11.6622
1.24860,10.3815
1.32204,9.6680
1.39549,9.9271
1.46894,8.1662
1.54239,10.5046
1.61583,10.2756
1.68928,8.2794
1.76273,11.0383
1.83617,7.4556
1.90962,5.6446
1.98307,8.1404
2.05651,5.3099
2.12996,4.2485
2.20341,5.0124
2.27685,2.9162
2.35030,1.8015
2.42375,1.7226
2.49720,4.1594
2.57064,3.4536
2.64409,1.9375
2.71754,3.2500
