Distance_(microns),Value
0.00000,5.500
0.07345,6.906
0.14689,8.246
0.22034,7.187
0.29379,8.602
0.36723,6.712
0.44068,9.259
0.51413,5.854
0.58758,9.262
0.66102,12.925
0.73447,17.078
0.80792,31.243
0.88136,29.519
0.95481,36.565
1.02826,52.071
1.10170,60.079
1.17515,72.885
1.24860,79.920
1.32204,93.276
1.39549,106.423
1.46894,107.276
1.54239,96.547
1.61583,90.059
1.68928,97.831
1.76273,105.289
1.83617,109.993
1.90962,105.354
1.98307,74.251
2.05651,56.893
2.12996,56.757
2.20341,40.484
2.27685,25.083
2.35030,16.936
2.42375,14.162
2.49720,10.011
2.57064,8.097
2.64409,6.274
2.71754,4.750
