Distance_(microns),Value
0.00000,0.000
0.07345,0.324
0.14689,6.919
0.22034,7.973
0.29379,3.973
0.36723,3.784
0.44068,3.757
0.51413,11.270
0.58758,7.000
0.66102,21.568
0.73447,39.108
0.80792,85.432
0.88136,84.730
0.95481,100.568
1.02826,52.162
1.10170,35.622
1.17515,9.649
1.24860,10.189
1.32204,19.514
1.39549,9.838
1.46894,4.486
1.54239,4.000
1.61583,21.297
1.68928,16.486
1.76273,4.027
1.83617,11.811
1.90962,4.811
1.98307,7.351
2.05651,0.054
2.12996,7.189
2.20341,6.784
2.27685,8.486
2.35030,0.000
2.42375,2.270
2.49720,3.973
2.57064,2.865
2.64409,5.459
2.71754,14.000
