Distance_(microns),Value
0.00000,36.000
0.07345,42.162
0.14689,33.919
0.22034,40.757
0.29379,27.838
0.36723,31.595
0.44068,23.000
0.51413,33.838
0.58758,31.459
0.66102,39.730
0.73447,54.243
0.80792,60.405
0.88136,105.459
0.95481,181.514
1.02826,235.865
1.10170,243.297
1.17515,243.919
1.24860,254.514
1.32204,254.622
1.39549,253.676
1.46894,245.000
1.54239,255.000
1.61583,243.243
1.68928,238.919
1.76273,212.000
1.83617,207.324
1.90962,197.162
1.98307,142.568
2.05651,129.270
2.12996,127.189
2.20341,77.378
2.27685,62.297
2.35030,58.973
2.42375,46.324
2.49720,43.324
2.57064,26.919
2.64409,22.541
2.71754,17.000
