Distance_(microns),Value
0.00000,1.0000
0.07345,1.8974
0.14689,2.7949
0.22034,2.6923
0.29379,2.0000
0.36723,3.0000
0.44068,5.6923
0.51413,5.2821
0.58758,7.4615
0.66102,4.6923
0.73447,5.0769
0.80792,16.6154
0.88136,16.3077
0.95481,13.6667
1.02826,7.5641
1.10170,6.9231
1.17515,3.0769
1.24860,4.5385
1.32204,2.3077
1.39549,8.8462
1.46894,5.8462
1.54239,3.7692
1.61583,4.2564
1.68928,5.3590
1.76273,3.5385
1.83617,4.6923
1.90962,4.0000
1.98307,2.7692
2.05651,3.8718
2.12996,1.0256
2.20341,3.7692
2.27685,3.0000
2.35030,3.1538
2.42375,3.2308
2.49720,1.9487
2.57064,2.1795
2.64409,5.8462
2.71754,2.5897
2.79098,4.6923
2.86443,5.0000
