Distance_(microns),Value
0.00000,0.0000
0.07345,0.8974
0.14689,3.7949
0.22034,2.0000
0.29379,0.0000
0.36723,0.0000
0.44068,0.0000
0.51413,6.0256
0.58758,6.1026
0.66102,9.3077
0.73447,19.0769
0.80792,34.5897
0.88136,35.9231
0.95481,43.3333
1.02826,12.2564
1.10170,15.0000
1.17515,2.7949
1.24860,6.4615
1.32204,0.6154
1.39549,5.0513
1.46894,2.9487
1.54239,0.1538
1.61583,2.5128
1.68928,1.4359
1.76273,1.5385
1.83617,0.4359
1.90962,4.0000
1.98307,0.2308
2.05651,3.4872
2.12996,1.9487
2.20341,0.0000
2.27685,0.0000
2.35030,1.4103
2.42375,1.0000
2.49720,0.4872
2.57064,2.8718
2.64409,3.0000
2.71754,0.0000
2.79098,1.4103
2.86443,4.0000
