Distance_(microns),Value
0.00000,10.0000
0.07345,7.2933
0.14689,12.6933
0.22034,11.8600
0.29379,7.0667
0.36723,8.3333
0.44068,9.5200
0.51413,15.9367
0.58758,13.6533
0.66102,17.0200
0.73447,21.3333
0.80792,20.7300
0.88136,29.5200
0.95481,39.3000
1.02826,49.7467
1.10170,63.7500
1.17515,69.2133
1.24860,75.2833
1.32204,82.3200
1.39549,78.9933
1.46894,73.6667
1.54239,68.9500
1.61583,62.5600
1.68928,54.7633
1.76273,38.9200
1.83617,39.8333
1.90962,23.1067
1.98307,14.7200
2.05651,15.8533
2.12996,17.5933
2.20341,11.0000
