Distance_(microns),Value
0.00000,4.2500
0.07345,1.7851
0.14689,4.4959
0.22034,11.7603
0.29379,23.1247
0.36723,32.4408
0.44068,30.0579
0.51413,36.0624
0.58758,53.1786
0.66102,37.8182
0.73447,20.6970
0.80792,20.1111
0.88136,15.5227
0.95481,11.7567
1.02826,12.1701
1.10170,14.7603
1.17515,5.5684
1.24860,8.6097
1.32204,4.3740
1.39549,5.2755
1.46894,3.4848
1.54239,4.9174
1.61583,15.9722
1.68928,6.4334
1.76273,3.5888
1.83617,2.7025
1.90962,1.6100
1.98307,0.7686
2.05651,0.9137
2.12996,0.9100
2.20341,4.2459
2.27685,1.2672
2.35030,3.9881
2.42375,4.0000
