Distance_(microns),Value
0.00000,5.2500
0.07345,4.1083
0.14689,1.6274
0.22034,1.1598
0.29379,1.7914
0.36723,3.3394
0.44068,6.6080
0.51413,8.3393
0.58758,8.8381
0.66102,7.8639
0.73447,7.3718
0.80792,11.6026
0.88136,18.6820
0.95481,12.9167
1.02826,9.5184
1.10170,13.3062
1.17515,16.6361
1.24860,14.8396
1.32204,17.6391
1.39549,14.4162
1.46894,11.8554
1.54239,9.9453
1.61583,9.3292
1.68928,10.4127
1.76273,7.1006
1.83617,6.1172
1.90962,6.2500
1.98307,6.7027
2.05651,6.4231
2.12996,6.7283
2.20341,4.3299
2.27685,1.6160
2.35030,3.1340
2.42375,5.4453
2.49720,5.8900
2.57064,7.0966
2.64409,6.0607
2.71754,4.5224
2.79098,4.1703
2.86443,4.2500
