Distance_(microns),Value
0.00000,1.0000
0.07345,1.3770
0.14689,1.8626
0.22034,2.6723
0.29379,5.6744
0.36723,1.8826
0.44068,4.0276
0.51413,10.9594
0.58758,26.5776
0.66102,40.1417
0.73447,54.7144
0.80792,70.2217
0.88136,63.8702
0.95481,38.6436
1.02826,20.9324
1.10170,15.5587
1.17515,8.2066
1.24860,4.7193
1.32204,3.4949
1.39549,6.4965
1.46894,15.1412
1.54239,2.9773
1.61583,3.5251
1.68928,2.3380
1.76273,3.3721
1.83617,5.4024
1.90962,2.3137
1.98307,1.1709
2.05651,1.1412
2.12996,4.8026
2.20341,3.0790
2.27685,3.3575
2.35030,4.8264
2.42375,2.1147
2.49720,0.2044
2.57064,0.9405
2.64409,0.9254
2.71754,0.2726
2.79098,2.0411
2.86443,2.2845
2.93788,1.3726
3.01132,4.0860
3.08477,2.4029
3.15822,2.0000
