Distance_(microns),Value
0.00000,22.000
0.07345,21.645
0.14689,33.632
0.22034,31.950
0.29379,31.851
0.36723,23.511
0.44068,22.296
0.51413,29.812
0.58758,35.667
0.66102,49.566
0.73447,83.818
0.80792,125.813
0.88136,156.436
0.95481,188.243
1.02826,216.648
1.10170,230.415
1.17515,230.722
1.24860,243.400
1.32204,253.755
1.39549,247.263
1.46894,241.558
1.54239,232.870
1.61583,218.206
1.68928,187.915
1.76273,155.039
1.83617,138.889
1.90962,119.362
1.98307,102.456
2.05651,86.148
2.12996,70.736
2.20341,54.675
2.27685,45.389
2.35030,41.757
2.42375,38.844
2.49720,35.176
2.57064,28.315
2.64409,26.244
2.71754,25.999
2.79098,26.047
2.86443,25.856
2.93788,17.719
3.01132,18.688
3.08477,17.091
3.15822,12.000
