Distance_(microns),Value
0.00000,11.000
0.07345,11.657
0.14689,11.917
0.22034,12.837
0.29379,16.322
0.36723,15.790
0.44068,14.803
0.51413,28.280
0.58758,28.048
0.66102,43.822
0.73447,59.879
0.80792,75.511
0.88136,110.682
0.95481,143.766
1.02826,166.799
1.10170,188.615
1.17515,177.716
1.24860,172.500
1.32204,181.806
1.39549,180.604
1.46894,151.305
1.54239,135.253
1.61583,118.135
1.68928,109.097
1.76273,106.661
1.83617,83.626
1.90962,60.073
1.98307,45.424
2.05651,40.903
2.12996,31.604
2.20341,34.076
2.27685,34.798
2.35030,20.183
2.42375,19.949
2.49720,11.000
