Distance_(microns),Value
0.00000,25.000
0.07345,20.054
0.14689,14.776
0.22034,19.995
0.29379,18.150
0.36723,22.816
0.44068,22.020
0.51413,30.917
0.58758,46.259
0.66102,74.969
0.73447,127.034
0.80792,183.867
0.88136,216.000
0.95481,241.852
1.02826,247.333
1.10170,250.974
1.17515,251.844
1.24860,252.993
1.32204,254.673
1.39549,248.357
1.46894,243.469
1.54239,248.250
1.61583,247.068
1.68928,232.395
1.76273,216.918
1.83617,203.109
1.90962,172.102
1.98307,153.148
2.05651,138.000
2.12996,125.262
2.20341,94.959
2.27685,88.723
2.35030,67.497
2.42375,62.184
2.49720,50.102
2.57064,46.167
2.64409,30.020
2.71754,33.262
2.79098,25.667
2.86443,17.490
2.93788,14.184
3.01132,12.619
3.08477,15.000
