Distance_(microns),Value
0.00000,15.000
0.07345,13.744
0.14689,9.949
0.22034,8.000
0.29379,7.513
0.36723,6.128
0.44068,10.692
0.51413,8.256
0.58758,17.846
0.66102,26.769
0.73447,27.231
0.80792,38.718
0.88136,36.692
0.95481,48.333
1.02826,59.897
1.10170,64.231
1.17515,79.974
1.24860,93.462
1.32204,93.615
1.39549,92.128
1.46894,98.718
1.54239,108.846
1.61583,99.410
1.68928,102.436
1.76273,118.385
1.83617,123.667
1.90962,118.667
1.98307,118.692
2.05651,108.179
2.12996,100.256
2.20341,82.462
2.27685,90.590
2.35030,70.667
2.42375,51.154
2.49720,53.103
2.57064,45.564
2.64409,43.615
2.71754,23.974
2.79098,24.744
2.86443,15.000
