Distance_(microns),Value
0.00000,4.000
0.07345,4.143
0.14689,6.810
0.22034,5.286
0.29379,7.000
0.36723,4.762
0.44068,9.857
0.51413,11.333
0.58758,13.952
0.66102,20.429
0.73447,18.905
0.80792,42.667
0.88136,50.714
0.95481,95.667
1.02826,121.000
1.10170,160.143
1.17515,178.667
1.24860,198.190
1.32204,208.000
1.39549,234.667
1.46894,220.048
1.54239,225.000
1.61583,206.429
1.68928,194.238
1.76273,144.714
1.83617,141.905
1.90962,131.714
1.98307,92.000
2.05651,104.333
2.12996,67.810
2.20341,47.857
2.27685,62.714
2.35030,37.381
2.42375,29.857
2.49720,29.000
2.57064,27.333
2.64409,24.000
2.71754,36.952
2.79098,24.190
2.86443,27.000
2.93788,25.286
3.01132,32.810
3.08477,32.000
