Distance_(microns),Value
0.00000,15.250
0.07345,18.286
0.14689,18.510
0.22034,13.908
0.29379,15.840
0.36723,26.179
0.44068,35.867
0.51413,61.073
0.58758,77.984
0.66102,116.294
0.73447,137.194
0.80792,139.752
0.88136,136.316
0.95481,146.457
1.02826,165.799
1.10170,182.026
1.17515,197.188
1.24860,183.681
1.32204,198.959
1.39549,211.884
1.46894,219.094
1.54239,218.040
1.61583,207.364
1.68928,179.104
1.76273,158.797
1.83617,167.431
1.90962,141.521
1.98307,111.729
2.05651,103.496
2.12996,68.738
2.20341,49.697
2.27685,64.080
2.35030,35.000
