Distance_(microns),Value
0.00000,0.0000
0.07345,5.7000
0.14689,9.9000
0.22034,0.0000
0.29379,4.0000
0.36723,4.7500
0.44068,1.9000
0.51413,6.4500
0.58758,8.4000
0.66102,1.1000
0.73447,5.5000
0.80792,6.3500
0.88136,12.0000
0.95481,29.0500
1.02826,51.9000
1.10170,65.0000
1.17515,65.8000
1.24860,26.0500
1.32204,26.2000
1.39549,6.8000
1.46894,10.0000
1.54239,20.5500
1.61583,7.1000
1.68928,6.4000
1.76273,7.6000
1.83617,13.7500
1.90962,3.0000
1.98307,5.2500
2.05651,3.0000
2.12996,5.8500
2.20341,3.5000
2.27685,6.0000
2.35030,6.4000
2.42375,3.1000
2.49720,4.6000
2.57064,2.5000
2.64409,2.2000
2.71754,4.8500
2.79098,3.2000
2.86443,6.6500
2.93788,1.637E-11
