Distance_(microns),Value
0.00000,1.0000
0.07345,2.9487
0.14689,1.1026
0.22034,2.4615
0.29379,3.3846
0.36723,1.5385
0.44068,2.3077
0.51413,2.0769
0.58758,6.6410
0.66102,2.3846
0.73447,4.0256
0.80792,4.3846
0.88136,9.1538
0.95481,8.0000
1.02826,12.7179
1.10170,6.6923
1.17515,10.4615
1.24860,5.8974
1.32204,9.8462
1.39549,8.8205
1.46894,7.8974
1.54239,5.0000
1.61583,5.1282
1.68928,4.6410
1.76273,3.3077
1.83617,4.2821
1.90962,2.0000
1.98307,4.0769
2.05651,5.1795
2.12996,2.9744
2.20341,3.5385
2.27685,3.4615
2.35030,2.9231
2.42375,4.5385
2.49720,4.7436
2.57064,3.3846
2.64409,1.6154
2.71754,1.2051
2.79098,2.9487
2.86443,4.0000
