Distance_(microns),Value
0.00000,2.0000
0.07345,3.7949
0.14689,1.5128
0.22034,1.6923
0.29379,6.7949
0.36723,3.7692
0.44068,1.2308
0.51413,0.0000
0.58758,4.1026
0.66102,1.6154
0.73447,6.9744
0.80792,16.6923
0.88136,33.0000
0.95481,71.3333
1.02826,46.0000
1.10170,38.3846
1.17515,10.8205
1.24860,13.1026
1.32204,9.3077
1.39549,5.1282
1.46894,3.1538
1.54239,15.0000
1.61583,6.1026
1.68928,3.8974
1.76273,1.4615
1.83617,6.2821
1.90962,4.3333
1.98307,4.8462
2.05651,4.5128
2.12996,2.5385
2.20341,4.6923
2.27685,1.8205
2.35030,1.3590
2.42375,3.1538
2.49720,3.9744
2.57064,1.2051
2.64409,2.5385
2.71754,0.5128
2.79098,0.0000
2.86443,3.0000
