Distance_(microns),Value
0.00000,2.0000
0.07345,14.1429
0.14689,2.7714
0.22034,3.3143
0.29379,1.9143
0.36723,1.8571
0.44068,8.0571
0.51413,2.0000
0.58758,3.9143
0.66102,4.4571
0.73447,6.8571
0.80792,12.2571
0.88136,19.0571
0.95481,10.4286
1.02826,3.6000
1.10170,16.1429
1.17515,25.8857
1.24860,10.4000
1.32204,12.9143
1.39549,6.6571
1.46894,8.8571
1.54239,1.2000
1.61583,8.5143
1.68928,3.4286
1.76273,5.6571
1.83617,5.8571
1.90962,2.5714
1.98307,3.0857
2.05651,2.4000
2.12996,6.2571
2.20341,6.1429
2.27685,0.4571
2.35030,1.5429
2.42375,1.7714
2.49720,3.3429
2.57064,3.0000
